outlet_id,total_images,n_flagged,flagged_images,ranking,folder_median_consensus,review_folder
outlet_1a444d86,27,4,"[{""file_name"": ""image_0004_1.jpg"", ""suspicion_score"": 0.794, ""reason"": ""Median similarity to peers 0.25 vs folder median 0.77 (modified z = -12.8; absolute floor 0.27). Same scene type as peers ('storefront') but not the same place. Signage text 'PIRIHE | BRITISH | HONOURLBLE' shares 0/3 tokens with outlet signage ('আউট | আউট | আউট'). No geometric match to nearest peers (max 6 SIFT inliers). 2 other images in this folder resemble it (median similarity 0.69) but none of them matches the rest of the folder either: a coherent group that is foreign as a whole.""}, {""file_name"": ""image_0001_1.jpg"", ""suspicion_score"": 0.7195, ""reason"": ""Median similarity to peers 0.31 vs folder median 0.77 (modified z = -11.5; absolute floor 0.27). Same scene type as peers ('storefront') but not the same place. Signage text '; | 3 | TOWER:' shares 0/2 tokens with outlet signage ('আউট | আউট | আউট'). No geometric match to nearest peers (max 6 SIFT inliers). 2 other images in this folder resemble it (median similarity 0.68) but none of them matches the rest of the folder either: a coherent group that is foreign as a whole.""}, {""file_name"": ""image_0003_1.jpg"", ""suspicion_score"": 0.6996, ""reason"": ""Median similarity to peers 0.36 vs folder median 0.77 (modified z = -10.2; absolute floor 0.27). Same scene type as peers ('storefront') but not the same place. Signage text 'ELE' shares 0/1 tokens with outlet signage ('আউট | আউট | আউট'). No geometric match to nearest peers (max 6 SIFT inliers). 2 other images in this folder resemble it (median similarity 0.72) but none of them matches the rest of the folder either: a coherent group that is foreign as a whole.""}, {""file_name"": ""image_0002_1.jpg"", ""suspicion_score"": 0.398, ""reason"": ""Median similarity to peers 0.47 vs folder median 0.77 (modified z = -7.4; absolute floor 0.27). Same scene type as peers ('storefront') but not the same place. Signage text 'ভ | [ফটোকপি | পিণ্ট' shares 0/8 tokens with outlet signage ('আউট | আউট | আউট'). No geometric match to nearest peers (max 11 SIFT inliers).""}]","[""image_0004_1.jpg"", ""image_0001_1.jpg"", ""image_0003_1.jpg"", ""image_0002_1.jpg"", ""image_0020.jpg"", ""image_0001.jpg"", ""image_0018.jpg"", ""image_0003.jpg"", ""image_0016.jpg"", ""image_0019.jpg"", ""image_0007.jpg"", ""image_0004.jpg"", ""image_0023.jpg"", ""image_0017.jpg"", ""image_0002.jpg"", ""image_0006.jpg"", ""image_0008.jpg"", ""image_0015.jpg"", ""image_0011.jpg"", ""image_0009.jpg"", ""image_0014.jpg"", ""image_0021.jpg"", ""image_0022.jpg"", ""image_0012.jpg"", ""image_0010.jpg"", ""image_0005.jpg"", ""image_0013.jpg""]",0.77,0
outlet_1a4910c8,29,2,"[{""file_name"": ""image_0006.jpg"", ""suspicion_score"": 0.3, ""reason"": ""Identical copy of image_0005.jpg (content hash match); duplicate submission adds no new evidence of a visit.""}, {""file_name"": ""image_0029.jpg"", ""suspicion_score"": 0.3, ""reason"": ""Identical copy of image_0028.jpg (content hash match); duplicate submission adds no new evidence of a visit.""}]","[""image_0006.jpg"", ""image_0029.jpg"", ""image_0028.jpg"", ""image_0022.jpg"", ""image_0019.jpg"", ""image_0024.jpg"", ""image_0012.jpg"", ""image_0011.jpg"", ""image_0013.jpg"", ""image_0003.jpg"", ""image_0020.jpg"", ""image_0027.jpg"", ""image_0017.jpg"", ""image_0007.jpg"", ""image_0001.jpg"", ""image_0016.jpg"", ""image_0023.jpg"", ""image_0004.jpg"", ""image_0015.jpg"", ""image_0002.jpg"", ""image_0025.jpg"", ""image_0005.jpg"", ""image_0021.jpg"", ""image_0014.jpg"", ""image_0026.jpg"", ""image_0008.jpg"", ""image_0009.jpg"", ""image_0010.jpg"", ""image_0018.jpg""]",0.936,0
outlet_1aa573b9,14,0,[],"[""image_0002.jpg"", ""image_0003.jpg"", ""image_0005.jpg"", ""image_0012.jpg"", ""image_0001.jpg"", ""image_0007.jpg"", ""image_0004.jpg"", ""image_0013.jpg"", ""image_0014.jpg"", ""image_0006.jpg"", ""image_0008.jpg"", ""image_0009.jpg"", ""image_0010.jpg"", ""image_0011.jpg""]",0.769,0
outlet_1b2b051c,8,0,[],"[""image_0001.jpg"", ""image_0007.jpg"", ""image_0002.jpg"", ""image_0006.jpg"", ""image_0004.jpg"", ""image_0005.jpg"", ""image_0008.jpg"", ""image_0003.jpg""]",0.623,0
outlet_1ce36f39,15,0,[],"[""image_0015.jpg"", ""image_0006.jpg"", ""image_0003.jpg"", ""image_0007.jpg"", ""image_0009.jpg"", ""image_0008.jpg"", ""image_0005.jpg"", ""image_0012.jpg"", ""image_0014.jpg"", ""image_0013.jpg"", ""image_0002.jpg"", ""image_0011.jpg"", ""image_0004.jpg"", ""image_0001.jpg"", ""image_0010.jpg""]",0.672,0
outlet_1f28f2e3,19,0,[],"[""image_0004.jpg"", ""image_0008.jpg"", ""image_0013.jpg"", ""image_0003.jpg"", ""image_0002.jpg"", ""image_0005.jpg"", ""image_0007.jpg"", ""image_0001.jpg"", ""image_0009.jpg"", ""image_0015.jpg"", ""image_0014.jpg"", ""image_0012.jpg"", ""image_0019.jpg"", ""image_0006.jpg"", ""image_0011.jpg"", ""image_0010.jpg"", ""image_0018.jpg"", ""image_0016.jpg"", ""image_0017.jpg""]",0.719,0
outlet_256287da,7,0,[],"[""image_0003.jpg"", ""image_0006.jpg"", ""image_0005.jpg"", ""image_0001.jpg"", ""image_0004.jpg"", ""image_0007.jpg"", ""image_0002.jpg""]",0.72,0
outlet_264cdac2,5,2,"[{""file_name"": ""image_0002.jpg"", ""suspicion_score"": 0.7172, ""reason"": ""Median similarity to peers 0.32 vs folder median 0.57 (modified z = -2.6; absolute floor 0.27). Scene reads as 'storefront' while 3/4 peers read as 'closed shutter'. Signage text 'বিকাশ | ক্যাশ | খাহকারী' shares 7/20 tokens with outlet signage ('এম | এম | ছ'). No geometric match to nearest peers (max 7 SIFT inliers).""}, {""file_name"": ""image_0001.jpg"", ""suspicion_score"": 0.6557, ""reason"": ""Median similarity to peers 0.32 vs folder median 0.57 (modified z = -2.5; absolute floor 0.27). Scene reads as 'storefront' while 3/4 peers read as 'closed shutter'. Signage text 'খুচরা | বিল | ঠখুলুন' shares 7/26 tokens with outlet signage ('এম | এম | ছ'). No geometric match to nearest peers (max 5 SIFT inliers).""}]","[""image_0002.jpg"", ""image_0001.jpg"", ""image_0002_1.jpg"", ""image_0003.jpg"", ""image_0001_1.jpg""]",0.566,0
outlet_2790dc54,8,0,[],"[""image_0007.jpg"", ""image_0006.jpg"", ""image_0001.jpg"", ""image_0003.jpg"", ""image_0004.jpg"", ""image_0008.jpg"", ""image_0005.jpg"", ""image_0002.jpg""]",0.754,0
outlet_282fec27,11,0,[],"[""image_0006.jpg"", ""image_0003.jpg"", ""image_0002.jpg"", ""image_0011.jpg"", ""image_0007.jpg"", ""image_0004.jpg"", ""image_0005.jpg"", ""image_0008.jpg"", ""image_0009.jpg"", ""image_0010.jpg"", ""image_0001.jpg""]",0.828,0
outlet_288f9f47,18,3,"[{""file_name"": ""image_0002_1.jpg"", ""suspicion_score"": 0.8044, ""reason"": ""Median similarity to peers 0.23 vs folder median 0.75 (modified z = -9.7; absolute floor 0.27). Scene reads as 'shop interior' while 8/16 peers read as 'closed shutter'. No readable signage text, while peers show '797 | pepsi | 970050'. No geometric match to nearest peers (max 6 SIFT inliers).""}, {""file_name"": ""image_0001_1.jpg"", ""suspicion_score"": 0.6558, ""reason"": ""Median similarity to peers 0.37 vs folder median 0.75 (modified z = -7.2; absolute floor 0.27). Same scene type as peers ('closed shutter') but not the same place. Signage text 'দ্রক | ৪ুঁ' shares 0/2 tokens with outlet signage ('797 | pepsi | 970050'). No geometric match to nearest peers (max 5 SIFT inliers).""}, {""file_name"": ""image_0013.jpg"", ""suspicion_score"": 0.3, ""reason"": ""Identical copy of image_0012.jpg (content hash match); duplicate submission adds no new evidence of a visit.""}]","[""image_0002_1.jpg"", ""image_0001_1.jpg"", ""image_0013.jpg"", ""image_0005.jpg"", ""image_0002.jpg"", ""image_0016.jpg"", ""image_0011.jpg"", ""image_0015.jpg"", ""image_0001.jpg"", ""image_0004.jpg"", ""image_0003.jpg"", ""image_0014.jpg"", ""image_0007.jpg"", ""image_0006.jpg"", ""image_0009.jpg"", ""image_0008.jpg"", ""image_0010.jpg"", ""image_0012.jpg""]",0.746,0
outlet_28e3acec,30,4,"[{""file_name"": ""image_0001_1_1.jpg"", ""suspicion_score"": 0.7994, ""reason"": ""Median similarity to peers 0.07 vs folder median 0.78 (modified z = -8.0; absolute floor 0.27). Scene reads as 'house' while 22/29 peers read as 'storefront'. No readable signage text, while peers show 'AKASH | DigitalTV | AKASH'. No geometric match to nearest peers (max 4 SIFT inliers).""}, {""file_name"": ""image_0001_1.jpg"", ""suspicion_score"": 0.6641, ""reason"": ""Median similarity to peers 0.32 vs folder median 0.78 (modified z = -5.2; absolute floor 0.27). Scene reads as 'closed shutter' while 22/29 peers read as 'storefront'. Signage text 'এন্টারপ্রাইজ | র্মান | মেেমাস' shares 0/3 tokens with outlet signage ('AKASH | DigitalTV | AKASH'). No geometric match to nearest peers (max 5 SIFT inliers).""}, {""file_name"": ""image_0001_2.jpg"", ""suspicion_score"": 0.5076, ""reason"": ""Median similarity to peers 0.49 vs folder median 0.78 (modified z = -3.2; absolute floor 0.27). Same scene type as peers ('storefront') but not the same place. Signage text '৮১৪৭১ | কাটাখাল বাজার, ঝি | মোবাঃ ০১৭১৮' shares 0/8 tokens with outlet signage ('AKASH | DigitalTV | AKASH'). No geometric match to nearest peers (max 7 SIFT inliers).""}, {""file_name"": ""image_0002_1.jpg"", ""suspicion_score"": 0.5045, ""reason"": ""Median similarity to peers 0.41 vs folder median 0.78 (modified z = -4.1; absolute floor 0.27). Scene reads as 'restaurant' while 22/29 peers read as 'storefront'. No readable signage text, while peers show 'AKASH | DigitalTV | AKASH'. No geometric match to nearest peers (max 0 SIFT inliers).""}]","[""image_0001_1_1.jpg"", ""image_0001_1.jpg"", ""image_0001_2.jpg"", ""image_0002_1.jpg"", ""image_0002_2.jpg"", ""image_0003_1.jpg"", ""image_0003.jpg"", ""image_0011.jpg"", ""image_0009.jpg"", ""image_0007.jpg"", ""image_0020.jpg"", ""image_0002.jpg"", ""image_0021.jpg"", ""image_0019.jpg"", ""image_0008.jpg"", ""image_0010.jpg"", ""image_0001.jpg"", ""image_0005.jpg"", ""image_0022.jpg"", ""image_0023.jpg"", ""image_0006.jpg"", ""image_0017.jpg"", ""image_0004.jpg"", ""image_0024.jpg"", ""image_0013.jpg"", ""image_0016.jpg"", ""image_0015.jpg"", ""image_0014.jpg"", ""image_0018.jpg"", ""image_0012.jpg""]",0.778,0
outlet_29139154,11,0,[],"[""image_0011.jpg"", ""image_0002.jpg"", ""image_0010.jpg"", ""image_0007.jpg"", ""image_0006.jpg"", ""image_0001.jpg"", ""image_0008.jpg"", ""image_0009.jpg"", ""image_0005.jpg"", ""image_0003.jpg"", ""image_0004.jpg""]",0.802,0
outlet_2df55e25,5,0,[],"[""image_0001.jpg"", ""image_0003.jpg"", ""image_0005.jpg"", ""image_0004.jpg"", ""image_0002.jpg""]",0.421,1
outlet_2e2f0c83,14,1,"[{""file_name"": ""image_0009.jpg"", ""suspicion_score"": 0.3894, ""reason"": ""Median similarity to peers 0.40 vs folder median 0.63 (modified z = -3.3; absolute floor 0.27). Scene reads as 'closed shutter' while 8/13 peers read as 'storefront'. Signage text 'ডাবল | হাজারে | হাজার' shares 5/16 tokens with outlet signage ('খুলুন | বিকাশ | ১৪৯৫'). No geometric match to nearest peers (max 24 SIFT inliers).""}]","[""image_0009.jpg"", ""image_0010.jpg"", ""image_0002.jpg"", ""image_0014.jpg"", ""image_0004.jpg"", ""image_0003.jpg"", ""image_0013.jpg"", ""image_0005.jpg"", ""image_0011.jpg"", ""image_0006.jpg"", ""image_0007.jpg"", ""image_0008.jpg"", ""image_0012.jpg"", ""image_0001.jpg""]",0.631,0
outlet_2ed27fc4,10,1,"[{""file_name"": ""image_0003.jpg"", ""suspicion_score"": 0.7843, ""reason"": ""Median similarity to peers 0.10 vs folder median 0.32 (modified z = -3.6; absolute floor 0.27). Same scene type as peers ('closed shutter') but not the same place. Signage text 'শিখুন | প | ড্রাইভিং' shares 0/3 tokens with outlet signage ('99 | 01946-707048 | রোড;'). No geometric match to nearest peers (max 16 SIFT inliers).""}]","[""image_0003.jpg"", ""image_0001_1.jpg"", ""image_0004_1.jpg"", ""image_0001.jpg"", ""image_0005.jpg"", ""image_0002.jpg"", ""image_0003_1.jpg"", ""image_0002_1.jpg"", ""image_0006.jpg"", ""image_0004.jpg""]",0.316,1
outlet_2fed22e2,11,1,"[{""file_name"": ""image_0001.jpg"", ""suspicion_score"": 0.3526, ""reason"": ""Median similarity to peers 0.38 vs folder median 0.70 (modified z = -6.8; absolute floor 0.27). Same scene type as peers ('closed shutter') but not the same place. Signage text 'ONALD | 000[1' shares 0/2 tokens with outlet signage ('কাশ | পেমেন্ট বিকাশ করুন | বিকাশ'). No geometric match to nearest peers (max 27 SIFT inliers).""}]","[""image_0001.jpg"", ""image_0011.jpg"", ""image_0008.jpg"", ""image_0006.jpg"", ""image_0002.jpg"", ""image_0010.jpg"", ""image_0003.jpg"", ""image_0004.jpg"", ""image_0007.jpg"", ""image_0009.jpg"", ""image_0005.jpg""]",0.698,0
outlet_31cc0334,14,0,[],"[""image_0011.jpg"", ""image_0010.jpg"", ""image_0006.jpg"", ""image_0009.jpg"", ""image_0014.jpg"", ""image_0005.jpg"", ""image_0013.jpg"", ""image_0004.jpg"", ""image_0002.jpg"", ""image_0003.jpg"", ""image_0007.jpg"", ""image_0008.jpg"", ""image_0012.jpg"", ""image_0001.jpg""]",0.795,0
